6930	0.4440341 -0.072981656 -0.07743806 0.031357765 0.4910858 0.2625783 -0.22958781 0.0014051199 -0.07242358 -0.34681034 -0.15821216 -0.11272393 -0.046006814 -0.046479534 0.16406836 -0.043639593
7059	-0.95539 0.24514768 0.16825694 -0.23905253 0.49309197 -0.08181057 -0.06059389 -0.08173463 0.021620832 0.1297644 0.13158858 -0.11653684 -0.008802265 -0.04199504 -0.057869054 -0.05816112
10079	0.52339435 -1.048909 -0.14470434 0.18070775 -0.10195227 -0.7858138 -0.042235285 0.039786786 -0.41445035 -0.7145117 -0.095983684 0.25066417 0.43584424 -0.23753276 0.15961036 0.21072301
9031	-0.15051961 -0.6816571 1.2824306 0.042826116 -0.19639856 0.10747624 0.24899036 -0.4585228 -0.1765352 -0.09684751 0.26459247 -0.024988204 0.11554524 -0.079557836 0.03881201 0.2741324
8292	-0.38909554 0.42153126 0.028618097 -0.8588723 0.19839263 -0.05318643 -0.36417466 -0.07117087 -0.22344403 -0.14589287 0.032040536 -0.11722396 0.05995193 0.01768642 0.07441243 0.058008645
11294	0.32127428 0.5243081 0.09339869 -0.093063414 -1.40705 0.6846396 0.37932378 -0.25024885 -0.027232789 -0.2503751 0.20191991 0.05924093 -0.030889511 -0.32052124 0.12457274 -0.024916742
10443	-0.663537 0.47261947 -0.123343945 -0.12653857 0.20198143 0.05497207 0.02089198 0.18702203 0.017885633 0.2531752 -0.24315149 -0.02473855 0.037192047 -0.07095129 0.13407022 0.09134385
11746	-0.49884605 0.94171345 0.061400652 -0.7853639 -0.056234136 -0.14855321 -0.20813206 0.13595277 -0.15824519 -0.2794686 -0.1712321 0.028101966 -0.08622421 0.0927696 -0.014216945 0.037359487
12473	-0.5301027 0.89288837 0.010875523 -0.8715428 0.0048893094 -0.23652989 -0.30386207 -0.121760875 -0.024748914 -0.17046778 -0.14975983 0.10948332 -0.000333488 0.046433993 0.05211577 -0.09331278
12257	-0.8199463 -0.018908083 0.489675 -0.6576333 0.43075153 -0.18426137 0.008233026 0.19080132 0.17230497 -0.42526752 -0.45639205 -0.52446675 0.035800636 -0.36594415 -0.21164994 -0.13313104
13290	-0.8917737 -0.17275989 -0.6019819 -0.21892428 0.32322326 0.11408783 0.2535339 0.0059252977 -0.14840738 0.10462119 0.121261954 0.2818358 -0.1009931 0.13087559 0.14736149 -0.19113289
12578	-0.31458712 1.2006085 -0.9731616 0.093788445 -0.62751114 -0.5493184 -0.05153978 0.29242718 0.16633023 0.5118952 -0.098932266 -0.108073905 0.22808164 0.035365902 0.17573448 0.57527083
13755	1.1282909 0.2918715 0.45560545 -0.7629149 -0.4834214 0.14521551 0.0819214 0.2841565 0.24006584 -0.25243324 0.08740693 -0.020642295 0.16654614 0.22698307 -0.30555046 -0.036455143
13729	-0.80645084 0.40370572 -0.22166836 -0.6984664 -0.9347557 -0.35452324 -0.10363286 0.85943806 -0.0018969849 -0.09176295 -0.50199986 -1.002135 -0.23043706 -0.4352796 -0.34391063 -0.16066788
14707	0.4439757 0.93255615 -0.20682669 0.22161245 -0.20461312 -0.032277778 -0.25211808 0.16587389 0.010689162 0.16942142 0.24566752 0.23012868 0.16829818 -0.008102879 0.17291465 0.020708766
15025	-0.55463886 0.7067949 0.48760623 -0.28854346 -0.22024073 -0.4283109 -0.12720215 0.20132065 -0.18460487 0.16656156 -0.18451977 -0.17318197 0.08601773 0.14435712 0.009240687 0.009254254
15123	1.109621 0.68826544 0.09081131 -0.58655584 -0.7015264 0.18859376 -0.059850633 0.5087068 0.0323829 -0.0431889 -0.027954996 -0.05595787 0.17968431 -0.05366432 -0.11461519 -0.28585094
15638	1.3608792 0.7738098 0.8846993 -0.26051426 -0.40531224 0.5329539 0.43142635 0.70026827 -0.37862313 -0.15682343 0.5829139 0.3939754 0.06942868 0.5196573 -0.05282216 -0.04981315
4454	0.04189968 -0.37059432 -0.37536877 -0.11728126 0.25389382 0.35204336 -0.08277579 0.06358802 0.059778336 0.4342162 -0.13145167 -0.2563609 0.15057224 -0.18418294 0.1314977 -0.16195767
3492	1.0458868 0.062474668 0.24017555 -0.054719448 -0.37366796 0.37008768 0.064537466 -0.00250265 0.16824815 0.024163082 0.36349285 -0.112705275 0.14007798 -0.21050778 -0.11794139 -0.22066218
4421	-0.48907185 -0.85530686 0.17858475 -0.38145113 -0.36650848 -0.10608798 0.0678969 0.13845617 -0.05169256 0.19503905 0.087180436 0.05261699 0.027896583 -0.121996894 0.0057111196 0.13903208
16093	-0.31503606 1.0048289 0.70837075 1.0171311 0.7761519 0.20035656 0.5646024 -0.44021854 0.25783294 0.80367684 -0.4781205 -0.49011832 0.0703814 0.3229532 -0.18783608 0.1930149
3668	1.790737 0.4351057 -0.05065036 -0.46758878 -0.98007846 0.7241396 0.30667394 0.6432464 -0.01636491 0.1090595 0.26650524 0.14967196 0.28759462 0.28704962 -0.32863304 -0.13542935
3932	-1.0220656 -0.37346327 -0.09821677 0.19375634 -0.26917982 0.29892346 -0.26418498 0.12501329 0.098286465 0.24761967 -0.17456594 0.17788166 -0.049579173 0.17889413 0.050152868 -0.014900181
4527	0.95846677 -0.5815915 -0.41016608 0.51410013 0.34110478 -0.16265252 -0.43278128 0.043509185 0.11756476 -0.44562453 0.05164641 -0.19372316 -0.09851211 0.13071644 -0.22967297 0.018197607
